,YES,COUTAX,UNEMPF,MOR,ACT,GDP,AGE,COUTAX_FEMALEUNEMP
0,60.3,712.0,21.0,105.0,82.4,13566.0,12.3,14952.0
1,52.3,643.0,26.5,97.0,80.2,13566.0,15.3,17039.5
2,53.4,679.0,28.3,113.0,86.3,9611.0,13.9,19215.7
3,57.0,801.0,27.1,109.0,80.4,9483.0,13.6,21707.1
4,68.7,753.0,22.0,115.0,64.7,9265.0,14.6,16566.0
5,48.8,714.0,24.3,107.0,79.0,9555.0,13.8,17350.2
6,65.5,920.0,21.2,118.0,72.2,9611.0,13.3,19504.0
7,70.5,779.0,20.5,114.0,75.2,9483.0,14.5,15969.5
8,59.1,771.0,23.2,102.0,81.1,9483.0,14.2,17887.2
9,62.7,724.0,20.5,112.0,80.3,12656.0,13.7,14842.0
10,51.6,682.0,23.8,96.0,83.0,9483.0,14.6,16231.6
11,62.0,837.0,22.1,111.0,74.5,12656.0,11.6,18497.7
12,68.4,599.0,19.9,117.0,83.8,8298.0,15.1,11920.1
13,69.2,680.0,21.5,121.0,77.6,9265.0,13.7,14620.0
14,64.7,747.0,22.5,109.0,77.9,8314.0,14.4,16807.5
15,75.0,982.0,19.4,137.0,65.3,9483.0,13.3,19050.8
16,62.1,719.0,25.9,109.0,80.9,8298.0,14.9,18622.1
17,67.2,831.0,18.5,138.0,80.2,9483.0,14.6,15373.5
18,67.7,858.0,19.4,119.0,84.8,12656.0,14.3,16645.2
19,52.7,652.0,27.2,108.0,86.4,13566.0,14.6,17734.4
20,65.7,718.0,23.7,115.0,73.5,9483.0,15.0,17016.6
21,72.2,787.0,20.8,126.0,74.7,9483.0,14.9,16369.6
22,47.4,515.0,26.8,106.0,87.8,8298.0,15.3,13802.0
23,51.3,732.0,23.0,103.0,86.6,9611.0,13.8,16836.0
24,63.6,783.0,20.5,125.0,78.5,9483.0,14.1,16051.5
25,50.7,612.0,23.7,100.0,80.6,9033.0,13.3,14504.4
26,51.6,486.0,23.2,117.0,84.8,8298.0,15.9,11275.2
27,56.2,765.0,23.6,105.0,79.2,9483.0,13.7,18054.0
28,67.6,793.0,21.7,125.0,78.4,9483.0,14.5,17208.1
29,58.9,776.0,23.0,110.0,77.2,9265.0,13.6,17848.0
30,74.7,978.0,19.3,130.0,71.5,9483.0,15.3,18875.4
31,67.3,792.0,21.2,126.0,82.2,12656.0,15.1,16790.4
